crop,state,costofcultivationhectarea2fl,costofcultivationhectarec2,costofproductionquintalc2,yieldquintalhectare,costofcultivationyield,total
arhar,uttarpradesh,9794.05,23076.74,1941.55,9.83,996.3428281,2937.892828
arhar,karnataka,10593.15,16528.68,2172.46,7.47,1418.092369,3590.552369
arhar,gujarat,13468.82,19551.9,1898.3,9.59,1404.465068,3302.765068
arhar,andhrapradesh,17051.66,24171.65,3670.54,6.42,2656.021807,6326.561807
arhar,maharashtra,17130.55,25270.26,2775.8,8.72,1964.512615,4740.312615
cotton,maharashtra,23711.44,33116.82,2539.47,12.69,1868.51379,4407.98379
cotton,punjab,29047.1,50828.83,2003.76,24.39,1190.943009,3194.703009
cotton,andhrapradesh,29140.77,44756.72,2509.99,17.83,1634.367358,4144.357358
cotton,gujarat,29616.09,42070.44,2179.26,19.05,1554.650394,3733.910394
cotton,haryana,29918.97,44018.18,2127.35,19.9,1503.465829,3630.815829
gram,rajasthan,8552.69,12610.85,1691.66,6.83,1252.224012,2943.884012
gram,madhyapradesh,9803.89,16873.17,1551.94,10.29,952.7589893,2504.698989
gram,uttarpradesh,12833.04,21618.43,1882.68,10.93,1174.111619,3056.791619
gram,maharashtra,12985.95,18679.33,2277.68,8.05,1613.161491,3890.841491
gram,andhrapradesh,14421.98,26762.09,1559.04,16.69,864.1090473,2423.149047
groundnut,karnataka,13647.1,17314.2,3484.01,4.71,2897.473461,6381.483461
groundnut,andhrapradesh,21229.01,30434.61,2554.91,11.97,1773.517962,4328.427962
groundnut,tamilnadu,22507.86,30393.66,2358,11.98,1878.786311,4236.786311
groundnut,gujarat,22951.28,30114.45,1918.92,13.45,1706.41487,3625.33487
groundnut,maharashtra,26078.66,32683.46,3207.35,9.33,2795.140407,6002.490407
maize,bihar,13513.92,19857.7,404.43,42.95,314.6430733,719.0730733
maize,karnataka,13792.85,20671.54,581.69,31.1,443.5,1025.19
maize,rajasthan,14421.46,19810.29,658.77,23.56,612.1162988,1270.886299
maize,uttarpradesh,15635.43,21045.11,1387.36,13.7,1141.272263,2528.632263
maize,andhrapradesh,25687.09,37801.85,840.58,42.68,601.8530928,1442.433093
moong,orissa,5483.54,8266.98,2614.14,3.01,1821.774086,4435.914086
moong,rajasthan,6204.23,9165.59,2068.67,4.05,1531.908642,3600.578642
moong,karnataka,6440.64,7868.64,5777.48,1.32,4879.272727,10656.75273
moong,andhrapradesh,6684.18,13209.32,2228.97,5.9,1132.911864,3361.881864
moong,maharashtra,10780.76,15371.45,2261.24,6.7,1609.068657,3870.308657
paddy,uttarpradesh,17022,28144.5,732.62,36.61,464.9549303,1197.57493
paddy,orissa,17478.05,25909.05,715.04,32.42,539.1132017,1254.153202
paddy,westbengal,24731.06,33046.12,731.25,39.04,633.4800205,1364.73002
paddy,punjab,25154.75,45291.24,669.86,67.41,373.1605103,1043.02051
paddy,andhrapradesh,29664.84,46450.2,789.9,56,529.7292857,1319.629286
rapeseedandmustard,madhyapradesh,8686.43,17705.93,1279.6,12.94,671.2851623,1950.885162
rapeseedandmustard,rajasthan,11385.7,19259.84,1341.29,13.54,840.8936484,2182.183648
rapeseedandmustard,uttarpradesh,12774.41,22560.3,1595.56,13.57,941.3714075,2536.931408
rapeseedandmustard,gujarat,13740.64,19083.55,1610.4,11.61,1183.517657,2793.917657
rapeseedandmustard,haryana,14715.27,27507.54,1251.12,19.94,737.9774323,1989.097432
sugarcane,uttarpradesh,24538.32,45239.51,93.64,448.89,54.66443895,148.3044389
sugarcane,karnataka,55655.44,86765.77,86.53,986.21,56.43366017,142.9636602
sugarcane,andhrapradesh,56621.16,91442.63,119.72,757.92,74.7059848,194.4259848
sugarcane,maharashtra,57673.6,85801.95,107.56,744.01,77.51723767,185.0772377
sugarcane,tamilnadu,66335.06,89025.27,85.79,1015.45,65.32577675,151.1157767
wheat,madhyapradesh,12464.4,22489.75,810.25,23.59,528.3764307,1338.626431
wheat,punjab,17945.58,35423.48,804.8,39.83,450.554356,1255.354356
wheat,uttarpradesh,18979.38,31902.74,769.84,34.99,542.422978,1312.262978
wheat,rajasthan,19119.08,29876.36,683.58,37.19,514.0919602,1197.67196
